Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,target
5,8,2,3,20000,1,36,9.0,0.0649,0.0649,0
24,8,1,3,20000,1,24,19.0,0.0609,0.06468557005594466,0
5,8,2,3,20000,5,24,24.0,0.0708,0.07920036999943969,0
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
12,8,1,1,15000,7,24,24.0,0.0959,0.09589920002352649,0
4,7,2,1,50000,4,60,10.0,0.0639,0.0639,0
14,7,2,3,20000,6,24,24.0,0.0834,0.08337688258509104,0
3,8,3,4,10000,5,12,9.0,0.0617,0.08871241216343695,1
15,9,4,4,15000,4,36,24.0,0.0549,0.0662553168670641,1
8,8,1,1,10000,7,24,15.0,0.0959,0.09589999999999554,0
4,8,2,3,50000,4,36,8.0,0.054900000000000004,0.054900000000000004,0
3,8,2,3,25000,5,48,11.0,0.0792,0.0793,1
25,7,2,4,20000,4,36,25.0,0.049,0.04928742027178372,1
3,5,1,1,15000,1,24,17.0,0.0609,0.060895167904038316,0
4,8,2,1,20000,6,24,18.0,0.0834,0.0833747783135583,1
25,7,2,4,20000,4,36,25.0,0.049,0.04928742027178372,1
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
5,6,3,2,25000,6,24,9.0,0.0834,0.0882,1
3,7,2,1,15000,6,36,13.0,0.0874,0.08732021528850185,0
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
3,8,2,3,25000,5,48,11.0,0.0792,0.0793,1
8,7,2,3,10000,7,24,13.0,0.0959,0.09589999999999871,1
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
3,4,1,1,15000,2,19,2.0,0.1,0.09590000000000488,0
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
3,7,1,3,25000,6,36,12.0,0.0874,0.08738234962785899,1
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
24,8,3,0,30000,7,36,23.0,0.0995,0.09950420596400561,0
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
5,6,3,2,25000,6,24,9.0,0.0834,0.0882,1
25,8,2,4,5000,7,36,19.0,0.0999,0.09990000000018905,0
4,8,2,1,20000,6,24,18.0,0.0834,0.0833747783135583,1
6,7,1,3,25000,1,48,10.0,0.0692,0.0692,0
3,7,1,3,25000,6,36,12.0,0.0874,0.08738234962785899,1
38,4,1,3,15000,1,36,2.0,0.06309999999999999,0.06309999999999999,0
15,9,4,4,15000,4,36,24.0,0.0549,0.0662553168670641,1
4,4,2,3,30000,5,36,11.0,0.0748,0.08322199746491125,1
19,4,4,3,30000,5,36,36.0,0.0748,0.0752,0
9,5,2,4,10000,1,18,18.0,0.0557,0.054739276821959296,0
5,8,4,3,10000,4,12,12.0,0.0417,0.04546277525972666,0
5,7,2,1,5000,4,6,6.0,0.0406,0.0406,0
11,7,3,4,100000,4,48,2.0,0.0579,0.0579,0
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
4,8,2,3,25000,5,24,15.0,0.0708,0.0898461130538169,1
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
5,6,3,2,25000,6,24,9.0,0.0834,0.0882,1
15,8,2,2,10000,4,24,24.0,0.046,0.0491947516262921,0
27,8,3,2,20000,6,36,11.0,0.0874,0.0874,0
3,7,2,1,30000,5,24,17.0,0.0708,0.07074518232972944,0
3,7,1,3,25000,6,36,12.0,0.0874,0.08738234962785899,1
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
4,3,1,1,10000,5,36,4.0,0.0731,0.0731,0
2,7,2,3,15000,6,36,1.0,0.08560000000000001,0.08560000000000001,0
7,5,4,4,25000,7,24,24.0,0.0959,0.09585567095403918,0
15,9,4,4,15000,4,36,24.0,0.0549,0.0662553168670641,1
18,5,2,4,10000,6,24,8.0,0.0834,0.0834,0
40,8,0,4,18000,7,24,24.0,0.0959,0.09589777818808498,0
12,7,2,2,15000,5,36,8.0,0.0748,0.0748,0
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
54,8,3,0,25000,5,36,5.0,0.0731,0.0731,0
7,7,2,1,25000,4,36,6.0,0.054900000000000004,0.054900000000000004,0
15,9,4,4,15000,4,36,24.0,0.0549,0.0662553168670641,1
7,8,2,1,16000,5,36,0.0,0.0731,0.0731,0
3,5,1,1,15000,6,36,12.0,0.0874,0.08740000000090695,0
15,8,3,4,20000,5,24,9.0,0.0708,0.07079012616882734,1
11,7,3,4,15000,1,24,24.0,0.0609,0.06089986667073723,0
25,7,2,4,20000,4,36,25.0,0.049,0.04928742027178372,1
10,8,4,4,15000,4,24,24.0,0.0509,0.054404327595735935,0
23,7,3,4,30000,1,48,15.0,0.0692,0.07177523451689012,0
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
5,6,3,2,25000,6,24,9.0,0.0834,0.0882,1
4,7,2,3,10000,6,36,7.0,0.0874,0.0873952,1
5,8,2,3,10000,5,24,13.0,0.0708,0.07079440134535081,0
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
15,7,4,4,25000,4,24,22.0,0.0509,0.050813804043342146,0
4,7,2,3,10000,6,36,7.0,0.0874,0.0873952,1
22,7,2,3,2500,0,6,6.0,0.032,0.03463043023586235,0
21,4,2,3,30000,0,60,2.0,0.0528,0.0528,0
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
5,8,2,1,30000,4,48,6.0,0.0592,0.0592,0
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
2,8,2,3,10000,5,24,24.0,0.0716,0.07496497417117647,0
3,7,2,3,20000,7,36,22.0,0.0999,0.0998819781066039,0
4,5,2,3,25000,4,36,36.0,0.0549,0.0549,0
3,7,1,4,20000,1,48,9.0,0.0692,0.0692,0
8,7,3,3,16500,7,36,10.0,0.0999,0.10339805209032615,1
3,4,4,3,30000,5,24,23.0,0.0708,0.07075110462364545,0
25,7,2,4,20000,4,36,25.0,0.049,0.04928742027178372,1
6,7,1,3,20000,6,36,9.0,0.0874,0.0874,0
4,8,2,3,20000,0,24,0.0,0.0408,0.0408,0
12,8,4,4,15000,7,3,3.0,0.1,0.10000000000340084,0
3,4,3,3,10000,7,24,24.0,0.0967,0.09643022242597243,0
13,8,0,4,50000,4,36,0.0,0.053099999999999994,0.053099999999999994,0
4,8,2,3,25000,5,24,15.0,0.0708,0.0898461130538169,1
20,8,2,3,15000,1,36,17.0,0.0649,0.06489490206448535,0
5,8,2,3,5000,6,24,17.0,0.0834,0.0833999999999899,0
3,8,2,1,7500,7,12,6.0,0.0856,0.08538059223862952,1
5,2,1,1,15000,7,36,12.0,0.0999,0.09990000000044734,0
3,8,2,1,7500,7,12,6.0,0.0856,0.08538059223862952,1
4,7,4,3,15000,5,36,0.0,0.0731,0.0731,0
25,7,2,4,20000,4,36,25.0,0.049,0.04928742027178372,1
5,6,3,2,25000,6,24,9.0,0.0834,0.0882,1
4,8,2,1,20000,6,24,18.0,0.0834,0.0833747783135583,1
25,4,2,3,15000,5,36,2.0,0.0731,0.0731,0
21,7,3,4,25000,6,24,24.0,0.0834,0.08395822589625307,0
15,9,4,4,15000,4,36,24.0,0.0549,0.0662553168670641,1
8,7,3,3,16500,7,36,10.0,0.0999,0.10339805209032615,1
7,5,2,4,25000,5,48,10.0,0.07919999999999999,0.07919999999999999,0
3,7,1,1,15000,1,36,2.0,0.06309999999999999,0.06309999999999999,0
3,8,2,1,7500,7,12,6.0,0.0856,0.08538059223862952,1
9,1,3,3,15000,6,36,4.0,0.08560000000000001,0.08560000000000001,0
5,6,2,4,10000,7,24,24.0,0.0959,0.10606950048348457,0
25,7,2,4,12500,4,24,15.0,0.0509,0.05991543743210814,1
10,7,4,3,15000,1,36,9.0,0.0649,0.0649,0
24,7,3,4,22000,1,24,4.0,0.060899999999999996,0.060899999999999996,0
5,7,3,3,15000,5,36,21.0,0.0748,0.07474428086883754,0
15,9,4,4,15000,4,36,24.0,0.0549,0.0662553168670641,1
15,9,4,4,15000,4,36,24.0,0.0549,0.0662553168670641,1
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
4,4,2,3,30000,5,36,11.0,0.0748,0.08322199746491125,1
25,7,2,4,12500,4,24,15.0,0.0509,0.05991543743210814,1
4,7,2,3,10000,6,36,7.0,0.0874,0.0873952,1
5,8,2,1,25000,4,24,2.0,0.0509,0.0509,0
4,5,4,2,15000,7,24,9.0,0.0959,0.09588868423584493,1
3,7,1,1,10000,1,36,4.0,0.06309999999999999,0.06309999999999999,0
15,7,2,3,20000,6,24,21.0,0.0834,0.08335923307181219,0
25,7,2,4,20000,4,36,25.0,0.049,0.04928742027178372,1
13,7,2,3,25000,6,24,24.0,0.0834,0.08329102037902938,0
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
5,8,2,1,15000,5,24,2.0,0.0708,0.0708,0
38,8,3,4,20000,5,24,22.0,0.0708,0.08780390035949345,0
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
8,8,3,3,20000,5,24,5.0,0.0708,0.0800302000018024,1
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
3,8,2,3,25000,5,48,11.0,0.0792,0.0793,1
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
13,8,3,4,20000,6,36,16.0,0.0874,0.08739090483167873,0
3,8,2,3,25000,5,48,11.0,0.0792,0.0793,1
12,8,1,1,10000,2,60,14.0,0.1,0.09589999999999871,0
17,8,3,3,20000,5,36,6.0,0.0748,0.0748,0
15,5,4,1,10000,0,24,10.0,0.0408,0.0408,0
79,5,3,4,60000,4,36,4.0,0.053099999999999994,0.053099999999999994,0
25,7,2,4,12500,4,24,15.0,0.0509,0.05991543743210814,1
15,8,3,4,20000,5,24,9.0,0.0708,0.07079012616882734,1
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
7,3,2,1,10000,7,36,0.0,0.0981,0.0981,0
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
15,8,3,4,20000,5,24,9.0,0.0708,0.07079012616882734,1
32,5,2,1,5000,4,24,20.0,0.0509,0.05089999999998354,0
3,7,1,3,25000,6,36,12.0,0.0874,0.08738234962785899,1
5,8,2,1,10000,5,36,7.0,0.0748,0.0748,0
3,7,1,3,25000,6,36,12.0,0.0874,0.08738234962785899,1
3,8,1,1,15000,7,24,24.0,0.0959,0.09588242097830475,0
8,7,3,3,16500,7,36,10.0,0.0999,0.10339805209032615,1
5,6,3,2,25000,6,24,9.0,0.0834,0.0882,1
8,7,3,3,16500,7,36,10.0,0.0999,0.10339805209032615,1
3,7,1,3,25000,6,36,12.0,0.0874,0.08738234962785899,1
4,8,2,1,20000,6,24,18.0,0.0834,0.0833747783135583,1
5,4,2,4,30000,5,36,9.0,0.0748,0.0748,0
4,4,2,3,30000,5,36,11.0,0.0748,0.08322199746491125,1
34,0,2,3,25000,1,24,24.0,0.060899999999999996,0.060750125892129775,0
3,5,2,3,25000,7,18,18.0,0.0907,0.09066312457447943,0
3,8,3,4,10000,5,12,9.0,0.0617,0.08871241216343695,1
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
3,7,2,1,15000,6,24,24.0,0.0834,0.08335011497063877,0
7,5,0,3,20000,1,36,36.0,0.0649,0.0649,0
8,7,3,3,16500,7,36,10.0,0.0999,0.10339805209032615,1
11,7,3,2,20000,5,24,24.0,0.0708,0.07077065680855579,0
8,7,3,3,16500,7,36,10.0,0.0999,0.10339805209032615,1
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
26,7,3,2,30000,5,24,10.0,0.0708,0.0708,0
25,7,2,4,12500,4,24,15.0,0.0509,0.05991543743210814,1
18,5,1,3,50000,4,36,6.0,0.054900000000000004,0.054900000000000004,0
10,1,2,2,15000,2,6,6.0,0.1,0.08339547127648807,0
4,5,2,3,15000,4,36,36.0,0.0549,0.05483189431057259,0
8,7,3,3,16500,7,36,10.0,0.0999,0.10339805209032615,1
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
11,2,2,3,30000,4,36,4.0,0.053099999999999994,0.053099999999999994,0
3,7,1,3,15000,6,36,14.0,0.0874,0.0874,0
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
10,8,3,3,20000,7,24,19.0,0.0959,0.09589672584107731,0
3,8,2,1,7500,7,12,6.0,0.0856,0.08538059223862952,1
40,8,4,4,15000,4,12,12.0,0.0406,0.04087080303882591,0
13,8,1,1,10000,1,36,0.0,0.06309999999999999,0.06309999999999999,0
3,7,1,3,25000,6,36,12.0,0.0874,0.08738234962785899,1
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
3,5,2,1,25000,5,36,14.0,0.07486817584879389,0.07479156157967587,0
5,8,3,3,5000,6,24,11.0,0.0834,0.0834,0
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
5,6,2,3,9000,5,3,3.0,0.0605,0.0605,0
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
8,8,3,3,20000,5,24,5.0,0.0708,0.0800302000018024,1
6,7,3,2,35000,6,48,15.0,0.0917,0.0916705573303109,0
15,8,3,4,20000,5,24,9.0,0.0708,0.07079012616882734,1
40,8,3,4,25000,1,18,18.0,0.0557,0.055690686439997944,0
4,8,1,4,100000,4,24,11.0,0.0509,0.05072514,0
38,8,1,3,10000,6,36,13.0,0.0874,0.087396550252817,0
4,7,2,3,10000,6,36,7.0,0.0874,0.0873952,1
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
8,8,3,3,20000,5,24,5.0,0.0708,0.0800302000018024,1
3,8,4,3,5000,5,2,2.0,0.0605,0.060492,0
25,7,2,4,12500,4,24,15.0,0.0509,0.05991543743210814,1
4,5,4,2,15000,7,24,9.0,0.0959,0.09588868423584493,1
4,8,2,1,20000,6,24,18.0,0.0834,0.0833747783135583,1
11,8,1,1,6000,5,36,3.0,0.0731,0.0731,0
31,5,0,4,20000,1,24,24.0,0.0609,0.0608723167067234,0
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
3,8,2,1,15000,1,36,4.0,0.06309999999999999,0.06309999999999999,0
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
33,5,0,0,150000,2,60,0.0,0.04,0.04,0
7,7,1,1,5000,7,18,0.0,0.0907,0.0907,0
12,7,3,4,25000,1,36,2.0,0.06309999999999999,0.06309999999999999,0
3,2,1,1,5000,7,24,13.0,0.0959,0.09589960002384786,0
3,8,3,4,10000,5,12,9.0,0.0617,0.08871241216343695,1
27,8,2,3,15000,5,36,7.0,0.0748,0.0748,0
3,8,2,1,15000,6,36,9.0,0.0874,0.0874,0
6,5,3,3,10000,4,12,12.0,0.0417,0.05220540118323905,0
15,8,3,4,20000,5,24,9.0,0.0708,0.07079012616882734,1
5,8,1,3,15000,7,36,12.0,0.0999,0.09990000000044696,0
5,4,3,2,25000,4,48,3.0,0.0579,0.0579,0
3,8,2,1,25000,1,36,7.0,0.0649,0.0649,0
8,7,3,3,16500,7,36,10.0,0.0999,0.10339805209032615,1
5,6,3,2,25000,6,24,9.0,0.0834,0.0882,1
3,8,2,1,7500,7,12,6.0,0.0856,0.08538059223862952,1
7,5,2,3,15000,6,36,12.0,0.0874,0.08739986667343369,0
25,7,2,4,20000,4,36,25.0,0.049,0.04928742027178372,1
18,8,2,3,10000,1,18,18.0,0.0557,0.08409665761863602,0
7,8,2,2,40000,1,48,2.0,0.0679,0.0679,0
19,4,1,3,15000,6,36,8.0,0.0874,0.0874,0
16,8,0,2,50000,5,48,10.0,0.07919999999999999,0.0791968,0
25,7,2,4,12500,4,24,15.0,0.0509,0.05991543743210814,1
16,5,4,2,25000,1,36,3.0,0.06309999999999999,0.06309999999999999,0
4,8,2,3,25000,5,24,15.0,0.0708,0.0898461130538169,1
8,7,2,3,10000,7,24,13.0,0.0959,0.09589999999999871,1
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
15,9,4,4,15000,4,36,24.0,0.0549,0.0662553168670641,1
10,4,1,1,15000,1,24,17.0,0.0609,0.06089683352430137,0
15,8,3,4,20000,5,24,9.0,0.0708,0.07079012616882734,1
4,5,2,1,20000,1,24,13.0,0.060899999999999996,0.060684687713431794,0
4,6,2,3,18595,5,2,2.0,0.0605,0.060471769999999994,0
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
5,7,3,3,25000,4,36,12.0,0.054900000000000004,0.05487151993325598,0
4,5,4,2,15000,7,24,9.0,0.0959,0.09588868423584493,1
4,4,2,3,30000,5,36,11.0,0.0748,0.08322199746491125,1
4,7,2,3,10000,6,36,7.0,0.0874,0.0873952,1
4,8,2,1,20000,6,24,18.0,0.0834,0.0833747783135583,1
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
10,8,4,1,10000,7,1,1.0,0.1,0.10000000000003549,0
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
6,8,2,3,15000,5,36,0.0,0.0731,0.0731,0
15,8,3,4,20000,5,24,9.0,0.0708,0.07079012616882734,1
3,7,1,1,10000,5,36,7.0,0.0748,0.0748,0
3,5,2,3,15000,5,24,24.0,0.0708,0.07076384137027136,0
15,1,1,2,15000,7,18,13.0,0.0907,0.09068766786356082,0
6,3,4,2,30000,5,24,20.0,0.0708,0.07066967131219842,0
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
15,9,4,4,15000,4,36,24.0,0.0549,0.0662553168670641,1
3,8,2,3,25000,5,48,11.0,0.0792,0.0793,1
25,8,4,3,20000,1,48,10.0,0.0692,0.0692,0
3,8,2,3,25000,5,48,11.0,0.0792,0.0793,1
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
3,8,2,3,35000,1,36,10.0,0.0649,0.0649,0
3,8,2,1,7500,7,12,6.0,0.0856,0.08538059223862952,1
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
17,6,2,4,20000,5,36,12.0,0.0748,0.07467662796807731,0
13,7,2,3,20000,5,36,13.0,0.0748,0.07479535136421754,0
8,7,2,1,30000,6,36,12.0,0.0874,0.08737965422162143,0
4,7,2,3,10000,6,36,7.0,0.0874,0.0873952,1
29,4,3,0,20000,4,24,24.0,0.0509,0.05581417236091262,0
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
3,8,3,4,10000,5,12,9.0,0.0617,0.08871241216343695,1
4,8,2,1,20000,6,24,18.0,0.0834,0.0833747783135583,1
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
10,8,1,3,25000,1,24,17.0,0.0609,0.0677344313188076,0
4,7,2,3,10000,6,36,7.0,0.0874,0.0873952,1
8,7,2,4,20000,1,24,11.0,0.060899999999999996,0.060899999999999996,0
12,8,3,4,15000,6,24,24.0,0.0959,0.08339900002964513,0
3,8,3,4,10000,5,12,9.0,0.0617,0.08871241216343695,1
4,8,2,3,25000,5,24,15.0,0.0708,0.0898461130538169,1
25,7,2,4,20000,4,36,25.0,0.049,0.04928742027178372,1
6,7,2,1,20000,4,24,2.0,0.0509,0.0509,0
17,7,3,4,20000,4,24,24.0,0.0509,0.05087420972065036,0
5,6,3,2,25000,6,24,9.0,0.0834,0.0882,1
11,8,3,2,15000,5,36,4.0,0.0731,0.0731,0
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
5,8,1,1,15000,5,24,24.0,0.0708,0.09476944497200515,0
4,4,2,3,30000,5,36,11.0,0.0748,0.08322199746491125,1
4,8,1,1,15000,7,36,13.0,0.0999,0.09990000000019064,0
8,7,2,3,10000,7,24,13.0,0.0959,0.09589999999999871,1
4,7,2,3,10000,6,36,7.0,0.0874,0.0873952,1
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
1,7,2,1,20000,3,36,0.0,0.06,0.06,0
10,7,2,1,25000,5,36,15.0,0.07486817584879389,0.0747730534535573,0
4,5,4,2,15000,7,24,9.0,0.0959,0.09588868423584493,1
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
2,7,0,1,15000,5,36,11.0,0.0748,0.07478723,0
11,4,2,3,25000,5,36,16.0,0.07486817584879389,0.0748,0
27,8,2,3,20000,6,36,14.0,0.0874,0.0873995000223166,0
4,5,4,2,15000,7,24,9.0,0.0959,0.09588868423584493,1
4,8,2,3,25000,5,24,15.0,0.0708,0.0898461130538169,1
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
16,4,2,4,10000,7,24,24.0,0.0959,0.0959142245699488,0
3,8,3,3,15000,5,24,3.0,0.0708,0.0708,0
2,4,2,1,20000,3,36,10.0,0.08,0.08,0
2,8,2,2,10000,3,36,0.0,0.08,0.08,0
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
6,8,4,3,30000,6,36,11.0,0.0874,0.08736746000000001,0
15,8,3,4,20000,5,24,9.0,0.0708,0.07079012616882734,1
33,9,3,2,20000,5,36,16.0,0.0748,0.07479980000972439,0
3,8,1,1,10000,5,24,6.0,0.0708,0.0708,0
8,8,3,3,20000,5,24,5.0,0.0708,0.0800302000018024,1
1,4,1,1,10000,3,36,10.0,0.1,0.09992069,0
9,8,4,3,20000,5,24,19.0,0.0708,0.07069507064180822,0
31,8,0,3,15000,6,36,11.0,0.0874,0.0874,0
11,5,2,4,40000,5,12,9.0,0.0605,0.0605,0
1,1,1,1,15000,3,36,17.0,0.08,0.08149838241274754,0
3,7,3,4,50000,0,48,6.0,0.0492,0.0492,0
25,7,2,4,12500,4,24,15.0,0.0509,0.05991543743210814,1
2,5,2,1,10000,3,48,0.0,0.09,0.09,0
4,8,2,1,20000,6,24,18.0,0.0834,0.0833747783135583,1
4,8,2,3,25000,5,24,15.0,0.0708,0.0898461130538169,1
35,7,2,3,10000,5,18,17.0,0.0657,0.06569480054765382,0
4,4,2,2,15000,4,18,15.0,0.0457,0.04569853340177673,0
16,8,2,3,15000,6,24,13.0,0.0834,0.08339890003257572,0
16,4,2,4,20000,7,36,29.0,0.0999,0.10074916039942766,0
6,1,2,2,10000,5,24,24.0,0.0708,0.0707999999999882,0
38,8,3,4,20000,4,24,24.0,0.0509,0.07163670120122687,0
32,4,3,4,25000,1,24,20.0,0.0609,0.0608613465870368,0
3,8,3,4,10000,5,12,9.0,0.0617,0.08871241216343695,1
4,7,2,3,10000,6,36,7.0,0.0874,0.0873952,1
3,8,2,3,400000,2,84,17.0,0.045,0.045,0
5,6,3,2,25000,6,24,9.0,0.0834,0.0882,1
8,8,3,3,20000,5,24,5.0,0.0708,0.0800302000018024,1
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
6,8,4,3,30000,5,24,16.0,0.07079645043014725,0.0708,0
4,7,3,3,20000,6,36,12.0,0.0874,0.08739947507625313,1
6,7,2,3,15000,1,24,24.0,0.0609,0.060894601277214494,0
4,4,2,3,30000,5,36,11.0,0.0748,0.08322199746491125,1
